OverallQual,GarageCars,GrLivArea,1stFlrSF,TotalBsmtSF,GarageArea,ExterQual,FullBath,BsmtQual,YearBuilt,YearRemodAdd,TotRmsAbvGrd,Fireplaces,2ndFlrSF,KitchenQual,BsmtFinSF1,LotArea,CentralAir,MasVnrArea,Foundation,BedroomAbvGr,MSZoning,BsmtFullBath,OverallCond,WoodDeckSF,GarageType,HalfBath,SaleType,LotShape,Neighborhood,MSSubClass,LandSlope,BsmtExposure,SaleCondition,GarageYrBlt,LandContour,Fence,OpenPorchSF,LotFrontage,BsmtUnfSF,SalePrice
7,2,1710,856,856,548,1,2,1,2003,2003,8,0,854,1,706,8450,1,196.0,1,3,1,1,5,0,1,1,1,1,1,60,1,1,1,2003.0,1,1,61,65.0,150,208500
6,2,1262,1262,1262,460,2,2,1,1976,1976,6,1,0,2,978,9600,1,0.0,2,3,1,0,8,298,1,0,1,1,2,20,1,2,1,1976.0,1,1,0,80.0,284,181500
7,2,1786,920,920,608,1,2,1,2001,2002,6,1,866,1,486,11250,1,162.0,1,3,1,1,5,0,1,1,1,2,1,60,1,3,1,2001.0,1,1,42,68.0,434,223500
7,3,1717,961,756,642,2,1,2,1915,1970,7,1,756,1,216,9550,1,0.0,3,3,1,1,5,0,2,0,1,2,3,70,1,1,2,1998.0,1,1,35,60.0,540,140000
8,3,2198,1145,1145,836,1,2,1,2000,2000,9,1,1053,1,655,14260,1,350.0,1,4,1,1,5,192,1,1,1,2,4,60,1,4,1,2000.0,1,1,84,84.0,490,250000
5,2,1362,796,796,480,2,1,1,1993,1995,5,0,566,2,732,14115,1,0.0,4,1,1,1,5,40,1,1,1,2,5,50,1,1,1,1993.0,1,2,30,85.0,64,143000
8,2,1694,1694,1686,636,1,2,3,2004,2005,7,1,0,1,1369,10084,1,186.0,1,3,1,1,5,255,1,0,1,1,6,20,1,4,1,2004.0,1,2,57,75.0,317,307000
7,2,2090,1107,1107,484,2,2,1,1973,1973,7,2,983,2,859,10382,1,240.0,2,3,1,1,6,235,1,1,1,2,7,60,1,3,1,1973.0,1,2,204,75.0,216,200000
7,2,1774,1022,952,468,2,2,2,1931,1950,8,2,752,2,0,6120,1,0.0,3,2,2,0,5,90,2,0,1,1,8,50,1,1,2,1931.0,1,2,0,51.0,952,129900
5,1,1077,1077,991,205,2,1,2,1939,1950,5,2,0,2,851,7420,1,0.0,3,2,1,1,6,0,1,0,1,1,9,190,1,1,1,1939.0,1,2,4,50.0,140,118000
5,1,1040,1040,1040,384,2,1,2,1965,1965,5,0,0,2,906,11200,1,0.0,2,3,1,1,5,0,2,0,1,1,10,20,1,1,1,1965.0,1,2,0,70.0,134,129500
9,3,2324,1182,1175,736,3,3,3,2005,2006,11,2,1142,3,998,11924,1,286.0,1,4,1,1,5,147,3,0,2,2,11,60,1,1,3,2005.0,1,2,21,85.0,177,345000
5,1,912,912,912,352,2,1,2,1962,1962,4,0,0,2,737,12968,1,0.0,2,2,1,1,6,140,2,0,1,3,10,20,1,1,1,1962.0,1,2,0,85.0,175,144000
7,3,1494,1494,1494,840,1,2,1,2006,2007,7,1,0,1,0,10652,1,306.0,1,3,1,0,5,160,1,0,2,2,1,20,1,4,3,2006.0,1,2,33,91.0,1494,279500
6,1,1253,1253,1253,352,2,1,2,1960,1960,5,1,0,2,733,10920,1,212.0,2,2,1,1,5,0,1,1,1,2,12,20,1,1,1,1960.0,1,3,213,91.0,520,157000
7,2,854,854,832,576,2,1,2,1929,2001,5,0,0,2,0,6120,1,0.0,3,2,2,0,8,48,2,0,1,1,9,45,1,1,1,1991.0,1,4,112,51.0,832,132000
6,2,1004,1004,1004,480,2,1,2,1970,1970,5,1,0,2,578,11241,1,180.0,2,2,1,1,7,0,1,0,1,2,12,20,1,1,1,1970.0,1,4,0,51.0,426,149000
4,2,1296,1296,0,516,2,2,2,1967,1967,6,0,0,2,0,10791,1,0.0,5,2,1,0,5,0,4,0,1,1,10,90,1,1,1,1967.0,1,4,0,72.0,0,90000
5,2,1114,1114,1114,576,2,1,2,2004,2004,6,0,0,1,646,13695,1,0.0,1,3,1,1,5,0,2,1,1,1,13,20,1,1,1,2004.0,1,4,102,66.0,468,159000
5,1,1339,1339,1029,294,2,1,2,1958,1965,6,0,0,2,504,7560,1,0.0,2,3,1,0,6,0,1,0,3,1,12,20,1,1,2,1958.0,1,2,0,70.0,525,139000
8,3,2376,1158,1158,853,1,3,3,2005,2006,9,1,1218,1,0,14215,1,380.0,1,4,1,0,5,240,3,1,2,2,11,60,1,4,3,2005.0,1,2,154,101.0,1158,325300
7,1,1108,1108,637,280,2,1,2,1930,1950,6,1,0,1,0,7449,1,0.0,1,3,2,0,7,0,1,0,1,1,14,45,1,1,1,1930.0,2,4,0,57.0,637,139400
8,2,1795,1795,1777,534,1,2,1,2002,2002,7,1,0,1,0,9742,1,281.0,1,3,1,0,5,171,1,0,1,1,1,20,1,1,1,2002.0,1,4,159,75.0,1777,230000
5,2,1060,1060,1040,572,2,1,1,1976,1976,6,1,0,2,840,4224,1,0.0,1,3,2,1,7,100,1,0,1,1,15,120,1,1,1,1976.0,1,4,110,44.0,200,129900
5,1,1060,1060,1060,270,2,1,2,1968,2001,6,1,0,1,188,8246,1,0.0,2,3,1,1,8,406,1,0,1,2,10,20,1,3,1,1968.0,1,2,90,44.0,204,154000
8,3,1600,1600,1566,890,1,2,1,2007,2007,7,1,0,1,0,14230,1,640.0,1,3,1,0,5,0,1,0,1,1,11,20,1,1,1,2007.0,1,2,56,110.0,1566,256300
5,2,900,900,900,576,2,1,2,1951,2000,5,0,0,1,234,7200,1,0.0,2,3,1,0,7,222,2,0,1,1,12,20,1,3,1,2005.0,1,2,32,60.0,180,134800
8,3,1704,1704,1704,772,1,2,3,2007,2008,7,1,0,1,1218,11478,1,200.0,1,3,1,1,5,0,1,0,1,1,11,20,1,1,1,2008.0,1,2,50,98.0,486,306000
5,1,1600,1600,1484,319,2,1,2,1957,1997,6,2,0,2,1277,16321,1,0.0,2,2,1,1,6,288,1,0,1,2,12,20,1,2,1,1957.0,1,2,258,47.0,207,207500
4,1,520,520,520,240,2,1,2,1927,1950,4,0,0,4,0,6324,2,0.0,3,1,2,0,6,49,2,0,1,2,9,30,1,1,1,1920.0,1,2,0,60.0,520,68500
4,1,1317,649,649,250,2,1,2,1920,1950,6,0,668,2,0,8500,2,0.0,3,3,3,0,4,0,2,0,1,1,14,70,1,1,1,1920.0,1,2,54,50.0,649,40000
5,1,1228,1228,1228,271,2,1,2,1966,2006,6,0,0,1,0,8544,1,0.0,2,3,1,0,6,0,1,1,1,2,10,20,1,1,1,1966.0,1,2,65,50.0,1228,149350
