OverallQual,GarageCars,GrLivArea,FullBath,1stFlrSF,BsmtQual,YearRemodAdd,TotalBsmtSF,BsmtFinSF1,ExterQual,2ndFlrSF,Fireplaces,TotRmsAbvGrd,KitchenQual,Foundation,BsmtFinType1,CentralAir,YearBuilt,GarageArea,HalfBath,BsmtFullBath,LotArea,BedroomAbvGr,Neighborhood,MSZoning,WoodDeckSF,MasVnrArea,OverallCond,LandSlope,LotFrontage,MSSubClass,BldgType,BsmtUnfSF,LotShape,GarageType,GarageFinish,RoofStyle,BsmtExposure,Id,Fence,SalePrice
7,2,1710,2,856,1,2003,856,706,1,854,0,8,1,1,1,1,2003,548,1,1,8450,3,1,1,0,196.0,5,1,65.0,60,1,150,1,1,1,1,1,1,1,208500
6,2,1262,2,1262,1,1976,1262,978,2,0,1,6,2,2,2,1,1976,460,0,0,9600,3,2,1,298,0.0,8,1,80.0,20,1,284,1,1,1,1,2,2,1,181500
7,2,1786,2,920,1,2002,920,486,1,866,1,6,1,1,1,1,2001,608,1,1,11250,3,1,1,0,162.0,5,1,68.0,60,1,434,2,1,1,1,3,3,1,223500
7,3,1717,1,961,2,1970,756,216,2,756,1,7,1,3,2,1,1915,642,0,1,9550,3,3,1,0,0.0,5,1,60.0,70,1,540,2,2,2,1,1,4,1,140000
8,3,2198,2,1145,1,2000,1145,655,1,1053,1,9,1,1,1,1,2000,836,1,1,14260,4,4,1,192,350.0,5,1,84.0,60,1,490,2,1,1,1,4,5,1,250000
5,2,1362,1,796,1,1995,796,732,2,566,0,5,2,4,1,1,1993,480,1,1,14115,1,5,1,40,0.0,5,1,85.0,50,1,64,2,1,2,1,1,6,2,143000
8,2,1694,2,1694,3,2005,1686,1369,1,0,1,7,1,1,1,1,2004,636,0,1,10084,3,6,1,255,186.0,5,1,75.0,20,1,317,1,1,1,1,4,7,2,307000
7,2,2090,2,1107,1,1973,1107,859,2,983,2,7,2,2,2,1,1973,484,1,1,10382,3,7,1,235,240.0,6,1,75.0,60,1,216,2,1,1,1,3,8,2,200000
7,2,1774,2,1022,2,1950,952,0,2,752,2,8,2,3,3,1,1931,468,0,0,6120,2,8,2,90,0.0,5,1,51.0,50,1,952,1,2,2,1,1,9,2,129900
5,1,1077,1,1077,2,1950,991,851,2,0,2,5,2,3,1,1,1939,205,0,1,7420,2,9,1,0,0.0,6,1,50.0,190,2,140,1,1,1,1,1,10,2,118000
5,1,1040,1,1040,2,1965,1040,906,2,0,0,5,2,2,4,1,1965,384,0,1,11200,3,10,1,0,0.0,5,1,70.0,20,1,134,1,2,2,2,1,11,2,129500
9,3,2324,3,1182,3,2006,1175,998,3,1142,2,11,3,1,1,1,2005,736,0,1,11924,4,11,1,147,286.0,5,1,85.0,60,1,177,2,3,3,2,1,12,2,345000
5,1,912,1,912,2,1962,912,737,2,0,0,4,2,2,2,1,1962,352,0,1,12968,2,10,1,140,0.0,6,1,85.0,20,1,175,3,2,2,2,1,13,2,144000
7,3,1494,2,1494,1,2007,1494,0,1,0,1,7,1,1,3,1,2006,840,0,0,10652,3,1,1,160,306.0,5,1,91.0,20,1,1494,2,1,1,1,4,14,2,279500
6,1,1253,1,1253,2,1960,1253,733,2,0,1,5,2,2,5,1,1960,352,1,1,10920,2,12,1,0,212.0,5,1,91.0,20,1,520,2,1,1,2,1,15,3,157000
7,2,854,1,854,2,2001,832,0,2,0,0,5,2,3,3,1,1929,576,0,0,6120,2,9,2,48,0.0,8,1,51.0,45,1,832,1,2,2,1,1,16,4,132000
6,2,1004,1,1004,2,1970,1004,578,2,0,1,5,2,2,2,1,1970,480,0,1,11241,2,12,1,0,180.0,7,1,51.0,20,1,426,2,1,3,1,1,17,4,149000
4,2,1296,2,1296,2,1967,0,0,2,0,0,6,2,5,2,1,1967,516,0,0,10791,2,10,1,0,0.0,5,1,72.0,90,3,0,1,4,2,1,1,18,4,90000
5,2,1114,1,1114,2,2004,1114,646,2,0,0,6,1,1,1,1,2004,576,1,1,13695,3,13,1,0,0.0,5,1,66.0,20,1,468,1,2,2,1,1,19,4,159000
5,1,1339,1,1339,2,1965,1029,504,2,0,0,6,2,2,6,1,1958,294,0,0,7560,3,12,1,0,0.0,6,1,70.0,20,1,525,1,1,2,2,1,20,2,139000
8,3,2376,3,1158,3,2006,1158,0,1,1218,1,9,1,1,3,1,2005,853,1,0,14215,4,11,1,240,380.0,5,1,101.0,60,1,1158,2,3,1,1,4,21,2,325300
7,1,1108,1,1108,2,1950,637,0,2,0,1,6,1,1,3,1,1930,280,0,0,7449,3,14,2,0,0.0,7,1,57.0,45,1,637,1,1,2,1,1,22,4,139400
8,2,1795,2,1795,1,2002,1777,0,1,0,1,7,1,1,3,1,2002,534,0,0,9742,3,1,1,171,281.0,5,1,75.0,20,1,1777,1,1,1,2,1,23,4,230000
5,2,1060,1,1060,1,1976,1040,840,2,0,1,6,2,1,1,1,1976,572,0,1,4224,3,15,2,100,0.0,7,1,44.0,120,4,200,1,1,2,1,1,24,4,129900
5,1,1060,1,1060,2,2001,1060,188,2,0,1,6,1,2,4,1,1968,270,0,1,8246,3,10,1,406,0.0,8,1,44.0,20,1,204,2,1,2,1,3,25,2,154000
8,3,1600,2,1600,1,2007,1566,0,1,0,1,7,1,1,3,1,2007,890,0,0,14230,3,11,1,0,640.0,5,1,110.0,20,1,1566,1,1,1,1,1,26,2,256300
5,2,900,1,900,2,2000,900,234,2,0,0,5,1,2,5,1,1951,576,0,0,7200,3,12,1,222,0.0,7,1,60.0,20,1,180,1,2,2,1,3,27,2,134800
8,3,1704,2,1704,3,2008,1704,1218,1,0,1,7,1,1,1,1,2007,772,0,1,11478,3,11,1,0,200.0,5,1,98.0,20,1,486,1,1,1,1,1,28,2,306000
5,1,1600,1,1600,2,1997,1484,1277,2,0,2,6,2,2,5,1,1957,319,0,1,16321,2,12,1,288,0.0,6,1,47.0,20,1,207,2,1,1,1,2,29,2,207500
4,1,520,1,520,2,1950,520,0,2,0,0,4,4,3,3,2,1927,240,0,0,6324,1,9,2,49,0.0,6,1,60.0,30,1,520,2,2,2,1,1,30,2,68500
4,1,1317,1,649,2,1950,649,0,2,668,0,6,2,3,3,2,1920,250,0,0,8500,3,14,3,0,0.0,4,1,50.0,70,1,649,1,2,2,3,1,31,2,40000
5,1,1228,1,1228,2,2006,1228,0,2,0,0,6,1,2,3,1,1966,271,1,0,8544,3,10,1,0,0.0,6,1,50.0,20,1,1228,2,1,2,1,1,32,2,149350
8,2,1234,2,1234,3,2007,1234,0,1,0,0,7,1,1,3,1,2007,484,0,0,11049,3,1,1,0,0.0,5,1,85.0,20,1,1234,1,1,1,1,4,33,2,179900
5,2,1700,1,1700,2,1959,1398,1018,2,0,1,6,1,2,4,1,1959,447,1,0,10552,4,12,1,0,0.0,5,1,70.0,20,1,380,2,1,1,2,1,34,2,165500
9,2,1561,2,1561,3,2005,1561,1153,3,0,1,6,3,1,1,1,2005,556,0,1,7313,2,11,1,203,246.0,5,1,60.0,120,4,408,1,1,3,2,1,35,2,277500
8,3,2452,3,1132,3,2005,1117,0,1,1320,1,9,1,1,3,1,2004,691,1,0,13418,4,11,1,113,132.0,5,1,108.0,60,1,1117,1,3,3,1,4,36,2,309000
5,2,1097,1,1097,1,1995,1097,0,2,0,0,6,2,1,3,1,1994,672,1,0,10859,3,1,1,392,0.0,5,1,112.0,20,1,1097,1,1,2,1,1,37,2,145000
5,2,1297,1,1297,2,1990,1297,1213,2,0,1,5,2,2,4,1,1954,498,0,0,8532,3,12,1,0,650.0,6,1,74.0,20,1,84,1,1,3,2,1,38,2,153000
